timestamp,gpu_power
.021,1543
.041,1543
1.023,1698
1.044,1698
1.066,1698
1.088,1543
1.110,1543
1.130,1543
1.153,1543
1.174,1543
1.197,1389
1.221,1543
1.243,1543
1.265,1543
1.290,1543
2.023,1389
2.045,1389
2.067,1389
2.088,1389
2.110,1388
2.131,1389
2.153,1389
2.175,1389
2.198,1389
2.220,1389
2.241,1389
2.262,1389
2.283,1389
2.304,1389
3.023,1389
3.044,1389
3.066,1389
3.089,1389
3.112,1389
3.135,1234
3.157,1389
3.180,1389
3.203,1388
3.225,1388
3.249,1388
3.271,1389
3.294,1389
3.317,1389
4.025,1389
4.049,1389
4.072,1389
4.095,1389
4.119,1389
4.142,1388
4.167,1389
4.189,1389
4.211,1389
4.232,1389
4.257,1389
4.278,1389
4.300,1389
5.025,1389
5.048,1389
5.069,1389
5.091,1234
5.113,1234
5.140,1234
5.162,1081
5.186,1081
5.208,1081
5.231,1081
5.253,926
5.276,926
5.299,926
5.321,926
6.026,772
6.051,772
6.074,772
6.097,772
6.120,772
6.144,772
6.167,772
6.192,772
6.216,772
6.239,772
6.262,617
6.286,617
6.308,617
7.025,617
7.046,1080
7.068,1234
7.090,1080
7.114,1080
7.135,1850
7.156,3390
7.182,5233
7.205,7225
7.227,8601
7.248,9668
7.273,10585
7.299,11649
7.322,12257
8.025,12870
8.048,13471
8.071,13931
8.094,14231
8.122,14531
8.146,14837
8.171,15143
8.194,15442
8.220,15748
8.244,15901
8.268,16206
8.291,16359
8.314,16359
8.338,16512
9.025,16658
9.047,16811
9.069,16804
9.094,16957
9.115,16804
9.140,16804
9.164,16957
9.188,17117
9.213,16811
9.235,16964
9.260,16964
9.281,16964
9.303,16811
10.025,16964
10.049,16811
10.070,16658
10.094,16804
10.120,16957
10.143,17110
10.166,17110
10.188,17262
10.211,17262
10.234,17110
10.263,17110
10.287,16957
10.310,16811
10.333,16811
11.026,16964
11.048,17117
11.072,17110
11.095,16957
11.118,17110
11.141,16957
11.163,16804
11.187,16957
11.208,16957
11.230,17117
11.251,17110
11.273,16957
11.296,16957
12.025,17110
12.047,17262
12.071,17110
12.093,16957
12.115,17110
12.137,17110
12.160,16957
12.187,16957
12.212,17110
12.237,17262
12.262,17110
12.286,14690
12.311,12563
12.335,10743
