timestamp,total_power
.059,11732
.123,11773
1.061,12080
1.125,12541
1.186,13390
1.247,13585
1.313,13276
1.379,13236
1.441,12621
1.505,12118
1.569,11965
1.633,11618
1.695,11926
1.757,11771
1.821,11773
2.060,11926
2.128,12233
2.193,12541
2.257,12541
2.322,12541
2.390,12541
2.454,12540
2.519,12694
2.590,13000
2.653,13000
2.716,13155
2.777,13309
2.840,12847
3.063,12540
3.127,12542
3.193,12386
3.256,12694
3.318,12847
3.379,13155
3.445,13309
3.505,13309
3.571,13503
3.639,14043
3.706,13696
3.771,13541
3.838,13696
3.902,13503
4.074,13349
4.139,13503
4.210,13657
4.271,13349
4.337,13349
4.401,13349
4.469,13154
4.537,13309
4.598,13309
4.665,13463
4.728,13463
4.794,13617
4.855,13463
5.065,13002
5.130,13002
5.194,12848
5.257,12695
5.321,12847
5.384,13000
5.452,13155
5.515,13309
5.584,13154
5.645,13001
5.707,12694
5.776,12386
5.840,12039
6.069,12194
6.144,12347
6.206,12695
6.267,12655
6.332,12807
6.396,12655
6.460,12193
6.526,12348
6.599,12193
6.665,12193
6.727,12347
6.794,12348
6.856,12193
7.063,12039
7.141,13002
7.210,13276
7.279,13430
7.345,14888
7.409,18258
7.473,20931
7.535,23033
7.599,24784
7.666,25775
8.064,27033
8.127,27670
8.196,29075
8.255,30023
8.322,30932
8.391,31270
8.456,31724
8.518,32024
8.587,31911
8.652,32367
8.718,32214
8.781,32214
8.845,32518
8.913,32365
9.074,32669
9.134,32968
9.195,33270
9.268,33422
9.337,33269
9.402,33119
9.466,33117
9.529,33462
9.599,33913
9.663,33871
9.732,34065
9.799,34215
9.866,33905
10.065,33455
10.129,33463
10.193,33462
10.257,31534
