timestamp,total_power
.016,11137
.032,11339
.058,11339
.125,11738
.338,11738
.403,11738
.472,11738
.540,11738
.607,11637
.673,12137
.739,12137
.808,11738
.875,11738
.941,11637
1.007,11738
1.073,11738
1.141,11738
1.341,11738
1.411,11738
1.477,11738
1.541,11738
1.611,11738
1.679,11637
1.745,11738
1.812,11738
1.879,11536
1.951,11738
2.017,11637
2.086,11738
2.248,11739
2.345,11638
2.414,11739
2.487,11739
2.552,11637
2.622,11738
2.688,11739
2.753,11639
2.821,11538
2.891,11538
2.961,11639
3.030,11639
3.097,11537
3.275,11537
3.343,11739
3.411,11637
3.479,11637
3.547,11738
3.615,11637
3.682,11738
3.748,11738
3.819,11536
3.887,11738
3.953,11637
4.020,11536
4.098,11536
4.336,11536
4.403,11536
4.469,11637
4.537,11536
4.608,11536
4.675,11637
4.739,11536
4.818,12137
4.893,12137
4.973,11738
5.042,11738
5.111,11940
5.369,12444
5.434,12444
5.503,12444
5.568,12843
5.637,12843
5.706,12641
5.770,12641
5.837,12641
5.899,12440
5.966,12838
6.032,12838
6.097,12838
6.325,13039
6.390,13140
6.461,14739
6.522,18031
6.595,17938
6.666,17041
6.738,16443
6.805,15841
6.873,14841
6.941,14139
7.016,13738
