timestamp,total_power
.019,11240
.036,11341
.054,11639
.116,11740
.178,11740
.321,11740
.418,11740
.483,12139
.547,12139
.613,11740
.677,11740
.744,11740
.808,11740
.872,11740
.941,12038
1.005,12139
1.070,12038
1.137,12139
1.205,12139
1.420,12038
1.487,12139
1.552,12139
1.618,12038
1.683,12038
1.749,12038
1.815,12038
1.880,12038
1.943,12038
2.010,12038
2.075,12038
2.143,12139
2.209,12038
2.381,12038
2.447,12138
2.517,12138
2.584,12139
2.648,12538
2.712,12538
2.777,12038
2.842,12038
2.908,12038
2.977,12139
3.041,12037
3.105,11639
3.169,12139
3.430,12038
3.493,12036
3.565,12138
3.630,12038
3.696,11639
3.762,11740
3.827,11639
3.892,11639
3.959,11639
4.020,11639
4.089,11638
4.156,11538
4.222,12038
4.426,11538
4.491,11639
4.556,11639
4.625,11638
4.691,11639
4.753,11639
4.832,12137
4.906,12536
4.984,11740
5.054,11740
5.124,11942
5.198,12144
5.437,12946
5.507,12946
5.576,12446
5.641,12446
5.712,12345
5.780,12244
5.848,12244
5.917,12143
5.983,12043
6.051,12043
6.118,12043
6.190,12143
6.259,12742
6.484,13343
6.555,15340
6.625,19540
6.692,22937
6.767,26132
6.832,28533
6.903,27947
6.971,25953
7.041,23654
7.113,21952
7.183,20339
7.365,17439
