timestamp,total_power
.018,11638
.034,11739
.052,11639
.111,11740
.177,11740
.376,11740
.441,12138
.508,11738
.570,11637
.637,11738
.702,11738
.767,11637
.831,11738
.897,11738
.963,11738
1.032,11738
1.096,11738
1.161,11738
1.227,12137
1.432,11739
1.496,12138
1.560,12138
1.626,12138
1.692,12036
1.757,12138
1.821,11739
1.884,11637
1.953,11738
2.020,11638
2.084,11740
2.148,11740
2.213,11639
2.435,11740
2.505,11740
2.567,11639
2.632,11740
2.697,11740
2.761,11639
2.827,11639
2.893,11638
2.956,11639
3.023,11639
3.088,11639
3.151,11739
3.219,11738
3.436,11637
3.501,11738
3.569,11740
3.636,11639
3.704,11740
3.769,11740
3.836,11638
3.900,11740
3.965,11638
4.030,11637
4.100,11637
4.164,11536
4.232,11637
4.378,11639
4.447,11637
4.511,11637
4.578,11638
4.645,11638
4.712,11739
4.778,11738
4.854,12137
4.923,11740
4.994,11740
5.064,11740
5.132,11940
5.205,12242
5.452,12845
5.522,12946
5.591,12946
5.659,12446
5.733,12345
5.799,12244
5.868,12244
5.936,12244
6.005,12143
6.072,12043
6.141,12043
6.215,12244
6.452,12946
6.522,14343
6.584,17247
6.651,20546
6.722,21249
6.797,19854
6.869,18058
6.936,16944
7.007,16343
7.075,15242
7.140,14640
7.222,14240
