timestamp,total_power
.060,12038
.119,12192
1.065,12347
1.126,12347
1.187,12732
1.250,13121
1.321,13388
1.391,13081
1.451,12926
1.510,12732
1.573,12579
1.634,12579
1.702,12117
1.765,11924
1.828,11769
1.893,11617
2.066,11924
2.129,12232
2.189,12539
2.250,12846
2.309,13000
2.370,13000
2.444,12846
2.509,12692
2.577,12692
2.642,13000
2.706,13154
2.770,13307
2.834,13000
3.062,13000
3.130,13000
3.194,12846
3.256,12846
3.319,12652
3.383,13000
3.450,13694
3.512,13848
3.575,13848
3.640,13848
3.703,13808
3.764,13500
3.828,13192
4.064,12846
4.129,12691
4.193,12846
4.255,13000
4.315,13154
4.377,13152
4.437,13307
4.505,13307
4.574,13000
4.638,13000
4.702,12846
4.765,13000
4.828,12846
4.893,13000
5.074,13000
5.133,13154
5.200,13307
5.266,13154
5.329,12846
5.392,12846
5.459,13001
5.523,13155
5.589,13000
5.653,13000
5.712,13114
5.774,12960
5.834,12192
6.068,12344
6.136,12192
6.206,12037
6.274,12232
6.337,12386
6.398,12384
6.457,12499
6.517,12538
6.577,12692
6.648,12345
6.712,12190
6.777,11884
6.845,11924
7.064,12232
7.129,12926
7.197,13274
7.262,13388
7.329,13233
7.394,13425
7.460,14926
7.522,17757
7.585,20320
7.649,22877
7.714,22531
7.772,21385
