timestamp,total_power
.067,12233
.126,12079
1.066,12079
1.127,12039
1.190,12581
1.253,13121
1.326,13121
1.387,12774
1.445,12619
1.505,12581
1.571,12427
1.636,12120
1.696,11926
1.760,11618
1.826,11463
2.066,11464
2.132,11771
2.192,12079
2.252,12386
2.312,12847
2.381,12847
2.445,12693
2.513,12540
2.579,12386
2.647,12694
2.713,12847
2.776,13155
2.837,13001
2.902,12847
3.075,12693
3.139,12386
3.202,12386
3.266,12386
3.330,13001
3.396,13154
3.460,13309
3.520,13463
3.579,14157
3.641,14157
3.713,13848
3.778,13848
3.843,13349
4.068,12887
4.135,13195
4.202,13348
4.265,13308
4.333,13309
4.394,13615
4.464,13463
4.527,13309
4.590,13154
4.654,12847
4.718,13000
4.783,13154
4.850,13154
5.070,13000
5.145,13000
5.209,13000
5.278,12846
5.342,12846
5.406,12693
5.471,12693
5.540,12692
5.600,12848
5.663,13001
5.733,12846
5.804,12847
5.868,12693
5.932,12193
6.075,11886
6.140,11693
6.211,11885
6.278,12040
6.341,12193
6.408,12348
6.473,12499
6.537,12499
6.606,12348
6.672,11885
6.738,11693
6.800,11693
6.863,11886
7.081,12039
7.144,12193
7.210,12347
7.282,12848
7.349,12888
7.416,13235
7.480,13081
7.545,13195
7.612,14389
7.681,17419
7.749,20129
7.821,22343
7.892,24097
8.073,25082
8.141,26685
8.207,27482
8.271,28278
8.341,26793
