timestamp,gpu_power
.001915314,38.20
.102678299,37.82
.308555365,38.11
.422483390,38.59
.636307629,38.59
.874346391,38.59
1.044832696,38.59
1.174249225,38.59
1.475527146,38.49
1.550053995,38.49
1.621800592,38.49
1.694696242,38.49
1.772253523,38.49
1.845602255,38.49
1.915590664,38.49
1.986469839,38.59
2.060513660,38.98
2.142711572,38.59
2.213644419,38.59
2.284492686,38.59
2.354669069,38.49
2.423962822,38.49
2.498845279,38.49
2.573867861,38.49
2.643363734,38.49
2.715457014,38.49
2.785868660,38.49
2.858905605,38.49
2.934329181,38.49
3.005084063,38.49
3.075360194,38.49
3.145026748,38.49
3.217345061,38.49
3.294544178,31.57
3.365782750,28.29
3.436977429,28.29
3.509173422,28.19
3.584723656,28.08
3.661415489,28.00
3.734752759,28.00
3.807604036,27.90
3.880777889,27.80
3.962238785,27.80
4.035487378,27.80
4.109083486,27.80
4.184029343,28.08
4.256350963,27.90
4.351541472,27.80
4.424402667,27.80
4.496009782,27.80
4.567332973,27.80
4.638296938,27.80
4.732503667,27.80
4.804802914,27.80
4.877379173,27.80
4.948641108,27.80
5.020679225,27.80
5.113535162,27.80
5.185649251,27.90
5.257972583,27.90
5.328978758,27.90
5.405242786,27.90
5.480684155,27.90
5.554707016,27.90
5.627022714,27.90
5.701452150,27.90
5.786109440,27.90
5.859317909,27.90
5.932718027,27.90
6.004775520,27.90
6.080252837,27.90
6.173586042,27.90
6.245880380,27.90
6.318280718,27.90
6.389308994,27.90
6.461018672,28.17
6.556693743,28.17
6.630358039,32.23
6.705548477,47.23
6.778088748,47.45
6.856670717,47.45
6.934315883,61.16
7.009418175,70.08
7.082553997,71.30
7.155256773,71.30
7.235651423,67.34
7.313057660,71.72
7.385473997,68.73
7.457820854,68.73
7.533980275,70.85
7.628234032,70.80
7.701534454,38.30
7.773501536,38.01
7.847197121,38.01
7.920468137,38.30
8.010726015,38.59
8.145917951,38.69
