timestamp,total_power
.016,11738
.085,11738
.312,11738
.379,12137
.451,12137
.518,12138
.588,12138
.657,11639
.723,11740
.796,11740
.862,11639
.929,11740
1.000,11639
1.066,11740
1.134,11738
1.344,11738
1.408,11738
1.476,11739
1.548,11739
1.616,11738
1.684,11637
1.751,11637
1.820,11738
1.887,11637
1.953,11637
2.019,11738
2.099,11637
2.310,11637
2.376,11738
2.443,11738
2.510,11740
2.575,11740
2.648,11739
2.711,11739
2.778,11739
2.845,11638
2.911,11638
2.981,11637
3.047,11637
3.115,11637
3.356,11738
3.422,11738
3.489,11637
3.557,11738
3.624,11637
3.690,11637
3.757,11738
3.824,11638
3.897,11637
3.960,11638
4.031,11638
4.103,11637
4.333,11638
4.404,11637
4.473,11637
4.542,11638
4.608,11637
4.674,11738
4.741,11637
4.817,12137
4.890,12137
4.964,12138
5.038,11638
5.112,12137
5.350,12742
5.420,12944
5.490,12944
5.561,12945
5.628,12844
5.697,12445
5.764,12344
5.829,12243
5.897,12244
5.964,12142
6.030,12042
6.096,12042
6.294,12743
6.362,12744
6.432,13244
6.506,14742
6.573,17636
6.642,21439
6.711,25134
6.778,27830
6.846,30134
6.914,27750
6.982,25857
7.053,24255
7.123,22350
7.298,19035
7.372,18136
