timestamp,total_power
.014,11739
.030,11739
.055,12138
.123,12138
.190,12139
.259,12139
.327,12638
.501,12139
.570,12139
.636,12240
.703,12139
.769,12139
.840,12139
.906,12139
.973,12240
1.039,12139
1.107,12538
1.172,12538
1.240,12538
1.309,12639
1.452,12639
1.551,12538
1.618,12937
1.684,12836
1.751,12538
1.818,12437
1.891,12538
1.961,12538
2.026,12437
2.091,12538
2.157,12538
2.226,12538
2.296,12538
2.453,12639
2.558,12538
2.625,12538
2.692,12538
2.762,12437
2.828,12836
2.895,12538
2.962,12437
3.028,12437
3.100,12538
3.164,12437
3.233,12437
3.308,12538
3.514,12538
3.581,12437
3.652,12639
3.718,13038
3.786,13038
3.851,13038
3.916,13038
3.983,12937
4.050,12836
4.117,12836
4.187,12836
4.255,12836
4.323,12937
4.543,12437
4.610,12937
4.678,12937
4.752,12538
4.822,13038
4.891,12937
4.963,12937
5.030,13240
5.098,13441
5.166,13042
5.234,13643
5.305,13744
5.511,13345
5.575,13143
5.641,13143
5.710,13143
5.771,13042
5.843,12941
5.909,12941
5.974,12941
6.046,12941
6.115,13143
6.179,13143
6.249,13244
6.323,14142
6.486,20545
6.581,26038
6.652,28337
6.719,30337
6.783,32534
6.848,34340
6.917,35340
6.984,37037
7.052,37939
7.119,38939
7.185,39838
7.250,39838
7.318,40237
7.525,41736
7.597,42034
7.664,42135
7.731,42546
7.801,42534
7.870,38370
7.936,34967
8.008,31666
8.074,28762
8.143,26653
8.216,24352
