timestamp,total_power
.016,11841
.049,11841
.117,11841
.186,12139
.253,12240
.319,12139
.386,12240
.455,12139
.521,12139
.586,11740
.653,12139
.800,11740
.894,11740
.957,12240
1.025,12139
1.089,12139
1.155,12240
1.220,11740
1.283,11740
1.350,11740
1.418,11740
1.483,11740
1.547,11740
1.611,11639
1.680,11740
1.887,11639
1.952,12139
2.017,12139
2.083,12139
2.147,12639
2.211,12639
2.282,12639
2.348,12639
2.416,12139
2.480,12240
2.546,12139
2.613,12240
2.680,12639
2.885,12038
2.952,12139
3.020,12139
3.085,12038
3.156,12139
3.221,12139
3.287,12038
3.352,12139
3.421,12038
3.488,12038
3.551,12139
3.618,12038
3.684,12139
3.887,11740
3.953,12139
4.020,12038
4.084,12038
4.150,12038
4.213,12038
4.280,12038
4.343,12038
4.409,12038
4.475,12139
4.542,12038
4.606,12038
4.674,12139
4.919,12139
4.992,12139
5.066,11740
5.141,11740
5.208,12442
5.274,12643
5.343,12643
5.410,12845
5.481,13047
5.548,13047
5.620,12946
5.686,12845
5.908,12244
5.976,12244
6.043,12244
6.113,12143
6.185,12043
6.259,12643
6.332,12744
6.399,13143
6.467,13345
6.532,14843
6.595,18145
6.661,21439
6.778,21753
6.913,19142
6.975,18141
7.045,17040
7.110,16438
7.184,16039
