timestamp,total_power
.059,11045
.128,10892
.201,10892
.270,11200
.336,12049
.399,12746
.461,12898
.523,12857
.585,12703
.655,12664
.718,12357
.786,12357
.864,12049
.928,12049
.991,12203
1.060,12318
1.134,12472
1.225,12472
1.292,12625
1.383,12164
1.452,11702
1.525,11549
1.594,11549
1.664,11857
1.748,12011
1.820,12010
1.897,12164
1.974,12010
2.053,11855
2.119,11662
2.195,11509
2.276,11509
2.346,11815
2.428,12010
2.496,11970
2.568,12124
2.644,12124
2.721,12664
2.800,12204
2.875,12164
2.949,11856
3.020,11855
3.095,12010
3.167,12010
3.239,12164
3.315,12164
3.384,12319
3.461,12164
3.538,11855
3.618,11547
3.681,11394
3.752,11549
3.840,11702
3.911,12010
3.986,12010
4.061,12164
4.136,12164
4.212,11815
4.297,11662
4.387,11549
4.460,11856
4.539,11855
4.614,12010
4.695,12010
4.769,12164
4.852,12010
4.925,11661
4.992,11621
5.074,11468
5.142,11508
5.219,11661
5.291,11970
5.365,11970
5.446,12124
5.519,12279
5.595,11970
5.664,11508
5.733,11468
5.808,11468
5.881,11468
5.963,11776
6.031,11969
6.108,12279
6.182,12084
6.272,11969
6.343,11780
6.410,11468
6.487,11856
6.557,12817
6.634,12972
6.703,12858
6.776,14170
6.847,17354
6.917,19921
6.997,22328
7.063,23930
7.138,25536
7.212,26475
7.285,27771
7.359,28833
7.433,29476
7.508,30424
7.579,31028
7.663,31374
7.739,31566
7.803,31259
7.873,31559
7.948,31861
8.023,32351
8.096,30426
8.168,27880
8.247,25948
8.317,24045
8.396,22139
8.470,20535
