Run ID (log path),QC (min query count),Max latency (ns),QPS w/ loadgen overhead,QPS w/o loadgen overhead
A100_v4.1_logs,128,2022892,651.99,655.58
A100_v4.1_logs,32,2012916,629.12,637.78
A100_v4.1_logs,256,1999259,677.55,689.49
A100_v4.1_logs,256,2155942,656.91,671.68
A100_v4.1_logs,16,1976454,636.09,642.58
A100_v4.1_logs,64,2305194,661.74,673.16
A100_v4.1_logs,16,1988130,597.28,603.01
A100_v4.1_logs,128,1859666,675.38,685.27
A100_v4.1_logs,16,1874406,599.08,604.66
A100_v4.1_logs,64,1938304,675.17,680.17
A100_v4.1_logs,64,1917223,647.70,653.13
A100_v4.1_logs,64,1896835,654.89,665.52
A100_v4.1_logs,32,1919841,615.74,625.07
A100_v4.1_logs,16,1844948,617.63,623.00
A100_v4.1_logs,64,2393663,635.97,641.25
A100_v4.1_logs,32,1921754,622.02,626.33
A100_v4.1_logs,256,2027571,662.57,675.76
A100_v4.1_logs,128,2180498,647.17,651.92
A100_v4.1_logs,256,2266964,658.58,669.79
A100_v4.1_logs,32,2051358,625.53,633.02
A100_v4.1_logs,64,1849237,671.15,679.72
A100_v4.1_logs,32,1885146,615.53,631.59
A100_v4.1_logs,16,1736716,635.61,652.94
A100_v4.1_logs,16,1769585,658.02,664.33
A100_v4.1_logs,32,1802119,656.51,661.00
A100_v4.1_logs,16,1885073,610.99,616.22
A100_v4.1_logs,64,1958394,616.43,650.21
A100_v4.1_logs,16,1797878,630.14,647.88
A100_v4.1_logs,16,1786529,646.75,651.70
A100_v4.1_logs,128,1855489,682.96,687.68
A100_v4.1_logs,128,1973262,649.48,664.02
A100_v4.1_logs,256,1843135,688.14,698.64
A100_v4.1_logs,32,1735363,675.09,680.50
A100_v4.1_logs,16,1719090,660.20,666.79
A100_v4.1_logs,32,1737795,659.22,664.38
A100_v4.1_logs,32,1870716,631.24,635.65
A100_v4.1_logs,32,1880084,625.74,630.51
A100_v4.1_logs,32,1752475,666.17,671.07
A100_v4.1_logs,128,1843095,684.97,689.05
A100_v4.1_logs,128,2116037,642.91,658.77
A100_v4.1_logs,128,2366027,654.64,657.98
A100_v4.1_logs,16,1827878,619.50,624.58
A100_v4.1_logs,64,2057527,628.98,651.47
A100_v4.1_logs,16,1865246,587.85,593.96
A100_v4.1_logs,128,2021459,651.10,654.88
A100_v4.1_logs,32,1972400,622.43,625.63
A100_v4.1_logs,64,1853432,678.19,683.28
A100_v4.1_logs,256,1845519,677.08,689.84
A100_v4.1_logs,128,1878161,681.87,686.33
A100_v4.1_logs,64,1843574,676.37,681.60
A100_v4.1_logs,128,2047569,649.43,659.02
A100_v4.1_logs,128,1962278,673.65,679.24
A100_v4.1_logs,16,1719965,657.99,663.91
A100_v4.1_logs,128,1963680,656.93,660.94
A100_v4.1_logs,256,1958250,662.61,671.50
A100_v4.1_logs,128,1862612,678.83,690.38
A100_v4.1_logs,64,1843645,675.07,680.29
A100_v4.1_logs,128,1939637,686.33,696.38
A100_v4.1_logs,16,1831432,620.34,625.77
A100_v4.1_logs,16,1857131,595.66,610.39
A100_v4.1_logs,16,1717577,651.65,667.17
A100_v4.1_logs,64,1825360,687.11,692.94
A100_v4.1_logs,256,1994299,685.58,689.51
A100_v4.1_logs,64,2318741,633.00,638.15
A100_v4.1_logs,16,1921414,597.30,610.48
A100_v4.1_logs,16,1763546,644.56,650.79
A100_v4.1_logs,64,2001692,643.41,648.90
A100_v4.1_logs,128,1828596,668.01,695.36
A100_v4.1_logs,64,2172072,631.93,645.66
A100_v4.1_logs,128,1837665,682.08,686.45
A100_v4.1_logs,256,1839608,681.52,690.18
A100_v4.1_logs,32,1710765,679.64,684.73
A100_v4.1_logs,64,1951592,641.03,646.21
A100_v4.1_logs,16,1837575,618.39,625.87
A100_v4.1_logs,16,1753004,655.56,661.75
A100_v4.1_logs,64,1999661,642.22,647.20
A100_v4.1_logs,32,2184394,650.71,656.13
A100_v4.1_logs,32,2272201,617.38,621.59
A100_v4.1_logs,32,2177292,621.52,624.76
A100_v4.1_logs,256,2006845,657.45,676.07
A100_v4.1_logs,32,1865116,627.62,631.95
A100_v4.1_logs,128,1863975,671.09,684.55
A100_v4.1_logs,16,1713950,653.78,658.62
A100_v4.1_logs,64,2050668,636.78,641.86
A100_v4.1_logs,128,2245554,644.95,657.67
A100_v4.1_logs,64,1850008,669.42,679.43
A100_v4.1_logs,256,2075683,679.52,686.04
A100_v4.1_logs,16,1904322,606.25,611.94
A100_v4.1_logs,16,2062850,594.42,600.50
A100_v4.1_logs,64,2114465,654.23,659.38
A100_v4.1_logs,128,1803839,682.37,686.92
A100_v4.1_logs,64,1930750,663.72,668.98
A100_v4.1_logs,32,1986955,606.34,611.01
A100_v4.1_logs,32,1735263,660.71,665.97
A100_v4.1_logs,16,2050895,600.18,603.99
A100_v4.1_logs,128,2356132,642.61,658.18
A100_v4.1_logs,32,1835108,654.28,658.24
A100_v4.1_logs,256,2107881,667.42,673.57
A100_v4.1_logs,16,1744789,650.09,656.43
A100_v4.1_logs,256,2295464,672.22,678.74
A100_v4.1_logs,16,1919750,626.34,634.16
A100_v4.1_logs,64,1943854,644.27,654.00
A100_v4.1_logs,128,1988170,651.62,668.90
A100_v4.1_logs,16,1729289,636.62,643.27
A100_v4.1_logs,256,1945515,665.97,676.02
A100_v4.1_logs,64,1984188,671.32,676.11
A100_v4.1_logs,256,2140672,678.30,689.49
A100_v4.1_logs,32,1912495,629.07,633.10
A100_v4.1_logs,256,1960164,660.19,676.82
A100_v4.1_logs,128,1856030,677.65,682.21
A100_v4.1_logs,16,1733457,659.66,665.35
A100_v4.1_logs,128,1907086,679.42,683.45
A100_v4.1_logs,16,1875087,589.51,605.05
A100_v4.1_logs,32,2374162,614.72,619.07
A100_v4.1_logs,16,2020360,599.49,603.21
A100_v4.1_logs,32,1826335,625.79,640.25
A100_v4.1_logs,32,1738857,664.56,669.10
A100_v4.1_logs,32,2546790,612.84,617.40
A100_v4.1_logs,32,1746274,660.60,665.65
A100_v4.1_logs,256,2065876,664.11,671.37
A100_v4.1_logs,64,2229362,638.01,642.48
A100_v4.1_logs,64,2170920,665.19,670.52
A100_v4.1_logs,16,1772403,642.25,648.77
A100_v4.1_logs,16,1736115,648.08,654.66
A100_v4.1_logs,32,1978527,652.77,657.77
A100_v4.1_logs,128,2081301,671.86,675.44
A100_v4.1_logs,128,2067335,648.85,653.23
A100_v4.1_logs,256,1855989,686.34,692.84
A100_v4.1_logs,128,1857731,665.36,684.02
A100_v4.1_logs,32,1804444,661.60,666.31
A100_v4.1_logs,256,2358613,660.56,675.68
A100_v4.1_logs,256,2103106,665.91,672.37
A100_v4.1_logs,32,1984480,615.24,622.00
A100_v4.1_logs,128,2004678,671.96,681.77
A100_v4.1_logs,32,2090191,610.75,615.91
A100_v4.1_logs,256,2012694,674.98,682.26
A100_v4.1_logs,128,2106919,671.78,675.90
A100_v4.1_logs,16,1884632,600.26,603.50
A100_v4.1_logs,256,1938654,681.20,688.59
A100_v4.1_logs,64,2464075,627.73,642.02
A100_v4.1_logs,32,1735343,662.25,667.74
A100_v4.1_logs,256,1848816,675.98,692.24
A100_v4.1_logs,64,2027663,644.24,649.17
A100_v4.1_logs,16,1756841,646.25,652.37
A100_v4.1_logs,64,2089349,638.04,643.30
A100_v4.1_logs,32,1879712,650.58,655.94
A100_v4.1_logs,16,1739859,633.50,649.07
A100_v4.1_logs,64,1968259,647.06,652.29
A100_v4.1_logs,256,2082704,657.02,675.97
A100_v4.1_logs,128,2120417,672.29,676.82
A100_v4.1_logs,32,1744892,661.97,666.81
A100_v4.1_logs,128,1937975,666.05,670.44
A100_v4.1_logs,32,1739529,656.14,661.21
A100_v4.1_logs,32,1991564,625.40,629.92
